scheme_code,scheme_name,fund_house,scheme_type,scheme_category,scheme_sub_category,latest_nav,return_1y,return_3y,fund_age_years,nav_date
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,,10.7205,4.2049,,2.11,29-05-2008
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,,10.6191,3.088,,2.11,29-05-2008
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,Standard Chartered Mutual Fund,Open Ended Schemes,Income,,18.9736,11.2247,,2.11,29-05-2008
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,,10.7115,3.8389,,2.11,29-05-2008
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,,10.1053,-0.5119,,2.11,29-05-2008
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Standard Chartered Mutual Fund,Open Ended Schemes,Income,,16.4299,8.9769,,2.11,29-05-2008
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,,913.9,1.6291,41.193,19.73,15-06-2026
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,,133.1,-4.5673,14.9991,19.73,15-06-2026
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,,14.55,-16.3312,-13.7522,5.44,21-10-2011
100036,Birla Sun Life Freedom Fund-Plan B (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,,30.91,-9.6991,21.7888,5.44,21-10-2011
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,,13.0612,-3.6927,-0.8705,19.39,15-06-2026
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,,128.2007,2.1044,18.1022,19.39,15-06-2026
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,108.023,0.0,0.0,25.14,15-06-2026
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,723.5557,6.2177,22.1373,25.14,15-06-2026
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,742.5179,6.2177,22.1374,25.14,15-06-2026
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,163.694,0.0,0.0,25.14,15-06-2026
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,100.195,0.0,0.0,25.14,15-06-2026
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,445.8707,6.2177,22.137,25.14,15-06-2026
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,108.3028,0.0658,0.2173,25.14,15-06-2026
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,,10.821,-0.1872,-0.0886,5.89,11-02-2011
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,,100.2958,0.04,0.0706,25.14,15-06-2026
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,,10.0,0.0,0.0,5.9,16-02-2011
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,,10.0,-0.1737,-0.3855,5.9,15-02-2011
